,WHO,Year,intersection,climate,health,sum
0,South-East Asia,2011,0.0,0.0,11.0,11.0
1,South-East Asia,2012,0.0,0.0,10.0,10.0
2,South-East Asia,2013,0.0,0.0,6.0,6.0
3,South-East Asia,2014,0.0,0.0,9.0,9.0
4,South-East Asia,2015,0.0,0.0,10.0,10.0
5,South-East Asia,2016,0.0,0.0,9.0,9.0
6,South-East Asia,2017,0.0,0.0,10.0,10.0
7,South-East Asia,2018,0.0,0.0,2.0,2.0
8,South-East Asia,2019,0.0,0.0,5.0,5.0
9,South-East Asia,2020,0.0,0.0,8.0,8.0
10,South-East Asia,2021,0.0,7.0,101.0,108.0
11,South-East Asia,2022,0.0,4.0,101.0,105.0
