,Sector,intersection,climate,health
0,Aerospace & Defense,0.0,1.0,0.0
1,Construction & Materials,0.0,6.0,9.0
2,Diversified,0.0,0.0,17.0
3,Electronic & Electrical Equ...,0.0,0.0,1.0
4,Equity Investment Instruments,0.0,0.0,53.0
5,Forestry & Paper,0.0,0.0,2.0
6,General Industrials,0.0,3.0,70.0
7,Health Care Equipment & Ser...,0.0,0.0,77.0
8,Household Goods & Home Cons...,0.0,0.0,0.0
9,Nonlife Insurance,0.0,0.0,5.0
10,Personal Goods,0.0,1.0,34.0
11,Pharmaceuticals & Biotechno...,0.0,0.0,12.0
12,Software & Computer Services,0.0,0.0,0.0
13,Support Services,0.0,0.0,2.0
