,Sector,Climate,Health,Intersection,Year
0,Aerospace & Defense,1.0,0.0,0.0,2021
1,Construction & Materials,1.0,1.0,0.0,2021
2,Diversified,0.0,0.6,0.0,2021
3,Electronic & Electrical Equ...,0.0,1.0,0.0,2021
4,Equity Investment Instruments,0.0,1.0,0.0,2021
5,Forestry & Paper,0.0,1.0,0.0,2021
6,General Industrials,0.4,1.0,0.0,2021
7,Health Care Equipment & Ser...,0.0,1.0,0.0,2021
8,Household Goods & Home Cons...,0.0,0.0,0.0,2021
9,Nonlife Insurance,0.0,1.0,0.0,2021
10,Personal Goods,0.14,1.0,0.0,2021
11,Pharmaceuticals & Biotechno...,0.0,1.0,0.0,2021
12,Software & Computer Services,0.0,0.0,0.0,2021
13,Support Services,0.0,1.0,0.0,2021
