,Sector,intersection,climate,health
0,Aerospace & Defense,0.0,0.0,0.0
1,Alternative Energy,0.0,0.0,22.0
2,Automobiles & Parts,0.0,3.0,71.0
3,Banks,23.0,562.0,577.0
4,Beverages,2.0,22.0,78.0
5,Chemicals,514.0,1934.0,8734.0
6,Construction & Materials,0.0,4.0,12.0
7,Diversified,96.0,762.0,1301.0
8,Electricity,15.0,152.0,121.0
9,Electronic & Electrical Equ...,1.0,26.0,57.0
10,Equity Investment Instruments,2.0,4.0,15.0
11,Financial Services,95.0,1305.0,1073.0
12,Fixed Line Telecommunications,9.0,285.0,670.0
13,Food & Drug Retailers,68.0,688.0,1192.0
14,Food Producers,40.0,125.0,298.0
15,Forestry & Paper,0.0,0.0,19.0
16,"Gas, Water & Multiutilities",3.0,29.0,61.0
17,General Industrials,53.0,325.0,944.0
18,General Retailers,0.0,7.0,9.0
19,Health Care Equipment & Ser...,0.0,0.0,34.0
20,Household Goods & Home Cons...,21.0,221.0,240.0
21,Industrial Metals & Mining,2.0,97.0,88.0
22,Industrial Transportation,18.0,206.0,391.0
23,Leisure Goods,0.0,1.0,4.0
24,Life Insurance,28.0,517.0,736.0
25,Media,3.0,77.0,88.0
26,Mobile Telecommunications,8.0,80.0,145.0
27,Oil & Gas Producers,0.0,13.0,28.0
28,"Oil Equipment, Services & D...",22.0,37.0,180.0
29,Personal Goods,11.0,91.0,254.0
30,Pharmaceuticals & Biotechno...,2.0,7.0,104.0
31,Real Estate Investment & Se...,0.0,14.0,27.0
32,Real Estate Investment Trusts,7.0,37.0,22.0
33,Software & Computer Services,12.0,129.0,884.0
34,Support Services,36.0,510.0,1012.0
35,Technology Hardware & Equip...,4.0,37.0,63.0
36,Travel & Leisure,10.0,224.0,260.0
