,Sector,intersection,health,climate
0,Alternative Energy,0.0,0.0,1.0
1,Banks,1.0,89.0,14.5
2,Chemicals,1.0,20.0,19.0
3,Construction & Materials,0.0,14.0,1.0
4,Diversified,0.0,9.25,4.5
5,Financial Services,2.0,23.0,5.0
6,"Gas, Water & Multiutilities",0.0,0.0,0.0
7,General Retailers,0.0,0.0,0.0
8,Health Care Equipment & Ser...,0.0,13.0,0.0
9,Mobile Telecommunications,0.0,18.0,0.0
10,Oil & Gas Producers,0.0,34.0,2.33
11,Real Estate Investment & Se...,0.0,2.0,0.5
12,Software & Computer Services,0.0,0.0,0.0
13,Support Services,0.0,8.67,0.0
