,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011,33.0,346.0,541.0,920.0
1,Very High,2012,33.0,288.0,542.0,863.0
2,Very High,2013,12.0,250.0,597.0,859.0
3,Very High,2014,27.0,239.0,485.0,751.0
4,Very High,2015,23.0,289.0,788.0,1100.0
5,Very High,2016,31.0,401.0,891.0,1323.0
6,Very High,2017,34.0,426.0,759.0,1219.0
7,Very High,2018,17.0,339.0,405.0,761.0
8,Very High,2019,45.0,561.0,573.0,1179.0
9,Very High,2020,53.0,904.0,948.0,1905.0
10,Very High,2021,149.0,1409.0,1967.0,3525.0
11,Very High,2022,186.0,2122.0,2065.0,4373.0
