,Sector,intersection,health,climate
0,Aerospace & Defense,0.0,27.5,2.5
1,Alternative Energy,0.0,4.0,5.0
2,Automobiles & Parts,0.0,74.0,37.0
3,Banks,0.0,9.0,6.5
4,Beverages,4.0,35.5,54.5
5,Chemicals,4.0,54.5,22.5
6,Construction & Materials,1.0,17.67,17.0
7,Diversified,1.0,12.27,12.09
8,Electricity,11.0,73.0,105.5
9,Electronic & Electrical Equ...,1.0,12.0,4.0
10,Equity Investment Instruments,6.0,23.0,60.0
11,Financial Services,0.0,19.5,8.5
12,Food Producers,1.6,43.0,15.2
13,General Industrials,3.0,16.33,9.67
14,Health Care Equipment & Ser...,1.0,9.0,20.0
15,Industrial Engineering,0.67,5.0,2.67
16,Industrial Transportation,1.62,23.12,14.75
17,Leisure Goods,0.0,3.0,14.0
18,Media,4.0,48.0,25.0
19,"Oil Equipment, Services & D...",1.88,18.5,7.88
20,Pharmaceuticals & Biotechno...,4.0,6.0,4.0
21,Real Estate Investment & Se...,0.0,20.5,5.0
22,Software & Computer Services,0.14,4.57,6.14
23,Support Services,1.0,19.8,14.8
24,Technology Hardware & Equip...,3.67,32.83,22.33
25,Travel & Leisure,6.0,124.0,71.0
