,Sector,intersection,climate,health
0,Aerospace & Defense,0.0,0.0,0.0
1,Automobiles & Parts,26.0,245.0,775.0
2,Banks,0.0,0.0,1.0
3,Chemicals,2.0,31.0,117.0
4,Construction & Materials,3.0,14.0,358.0
5,Diversified,2.0,10.0,52.0
6,Electricity,4.0,44.0,176.0
7,Food Producers,26.0,23.0,48.0
8,Forestry & Paper,0.0,0.0,23.0
9,General Industrials,1.0,18.0,39.0
10,Industrial Engineering,2.0,14.0,76.0
11,Industrial Transportation,0.0,2.0,6.0
12,Media,0.0,0.0,3.0
13,Mobile Telecommunications,0.0,6.0,4.0
14,Not Applicable,0.0,0.0,1.0
15,Oil & Gas Producers,24.0,79.0,930.0
16,"Oil Equipment, Services & D...",4.0,26.0,265.0
17,Personal Goods,15.0,128.0,329.0
18,Pharmaceuticals & Biotechno...,0.0,1.0,10.0
19,Support Services,0.0,2.0,4.0
20,Travel & Leisure,0.0,8.0,5.0
