,Sector,Climate,Health,Intersection,Year
0,Aerospace & Defense,0.0,0.0,0.0,2021
1,Automobiles & Parts,0.68,0.97,0.29,2021
2,Banks,0.0,0.33,0.0,2021
3,Chemicals,1.0,1.0,0.67,2021
4,Construction & Materials,0.61,1.0,0.13,2021
5,Diversified,0.67,1.0,0.17,2021
6,Electricity,1.0,1.0,1.0,2021
7,Food Producers,1.0,0.86,0.57,2021
8,Forestry & Paper,0.0,1.0,0.0,2021
9,General Industrials,0.5,0.67,0.08,2021
10,Industrial Engineering,1.0,1.0,0.25,2021
11,Industrial Transportation,0.5,0.5,0.0,2021
12,Media,0.0,1.0,0.0,2021
13,Mobile Telecommunications,1.0,1.0,0.0,2021
14,Not Applicable,0.0,1.0,0.0,2021
15,Oil & Gas Producers,0.63,1.0,0.31,2021
16,"Oil Equipment, Services & D...",0.73,1.0,0.27,2021
17,Personal Goods,0.78,0.78,0.33,2021
18,Pharmaceuticals & Biotechno...,1.0,1.0,0.0,2021
19,Support Services,0.67,1.0,0.0,2021
20,Travel & Leisure,0.5,0.5,0.0,2021
