,WHO,Year,intersection,climate,health,sum
0,Eastern Mediterranean,2011,0.0,5.0,4.0,9.0
1,Eastern Mediterranean,2012,0.0,1.0,0.0,1.0
2,Eastern Mediterranean,2013,0.0,0.0,0.0,0.0
3,Eastern Mediterranean,2014,0.0,0.0,0.0,0.0
4,Eastern Mediterranean,2016,0.0,0.0,1.0,1.0
5,Eastern Mediterranean,2017,0.0,0.0,0.0,0.0
6,Eastern Mediterranean,2018,1.0,2.0,4.0,7.0
7,Eastern Mediterranean,2019,1.0,2.0,7.0,10.0
8,Eastern Mediterranean,2020,1.0,2.0,3.0,6.0
9,Eastern Mediterranean,2021,0.0,8.0,11.0,19.0
10,Eastern Mediterranean,2022,0.0,8.0,4.0,12.0
