,Sector,intersection,climate,health
0,Alternative Energy,0.0,5.0,24.0
1,Beverages,1.0,24.0,169.0
2,Chemicals,0.0,0.0,39.0
3,Construction & Materials,0.0,0.0,34.0
4,Diversified,44.0,456.0,2382.0
5,Electricity,13.0,173.0,632.0
6,Financial Services,0.0,1.0,71.0
7,Fixed Line Telecommunications,0.0,19.0,293.0
8,Food Producers,0.0,8.0,25.0
9,General Industrials,2.0,8.0,6.0
10,General Retailers,1.0,14.0,255.0
11,Health Care Equipment & Ser...,2.0,4.0,603.0
12,Industrial Transportation,12.0,115.0,434.0
13,Leisure Goods,0.0,2.0,8.0
14,Media,0.0,1.0,68.0
15,Mobile Telecommunications,1.0,50.0,66.0
16,Oil & Gas Producers,0.0,1.0,59.0
17,Pharmaceuticals & Biotechno...,0.0,0.0,4.0
18,Real Estate Investment & Se...,1.0,16.0,64.0
19,Software & Computer Services,0.0,2.0,25.0
20,Support Services,3.0,266.0,383.0
