,Sector,intersection,climate,health
0,Alternative Energy,0.0,0.0,20.0
1,Automobiles & Parts,2.0,18.0,54.0
2,Banks,10.0,190.0,391.0
3,Beverages,3.0,49.0,141.0
4,Chemicals,1.0,14.0,57.0
5,Construction & Materials,0.0,34.0,103.0
6,Diversified,0.0,5.0,14.0
7,Electricity,9.0,493.0,531.0
8,Equity Investment Instruments,0.0,40.0,101.0
9,Financial Services,7.0,81.0,112.0
10,Food & Drug Retailers,17.0,117.0,255.0
11,Forestry & Paper,0.0,6.0,11.0
12,"Gas, Water & Multiutilities",4.0,19.0,62.0
13,General Industrials,4.0,43.0,136.0
14,General Retailers,4.0,75.0,469.0
15,Health Care Equipment & Ser...,7.0,25.0,358.0
16,Household Goods & Home Cons...,0.0,0.0,6.0
17,Industrial Engineering,0.0,0.0,38.0
18,Industrial Metals & Mining,3.0,141.0,123.0
19,Media,0.0,4.0,15.0
20,Mobile Telecommunications,0.0,23.0,51.0
21,Oil & Gas Producers,14.0,559.0,743.0
22,Pharmaceuticals & Biotechno...,9.0,34.0,292.0
23,Real Estate Investment & Se...,6.0,45.0,90.0
24,Software & Computer Services,0.0,10.0,10.0
25,Support Services,0.0,5.0,31.0
26,Technology Hardware & Equip...,0.0,1.0,19.0
27,Travel & Leisure,4.0,18.0,57.0
