,Sector,intersection,health,climate
0,Banks,2.5,59.0,42.5
1,Diversified,0.0,10.0,5.0
2,Electricity,2.0,169.0,122.0
3,Equity Investment Instruments,0.0,25.67,9.67
4,Food & Drug Retailers,5.0,102.0,51.0
5,General Retailers,0.0,38.0,16.0
6,Health Care Equipment & Ser...,0.0,6.0,2.5
7,Industrial Metals & Mining,3.0,40.0,70.0
8,Media,0.0,6.5,1.5
9,Oil & Gas Producers,0.0,0.0,0.0
10,Pharmaceuticals & Biotechno...,8.0,129.0,31.0
11,Software & Computer Services,0.0,1.0,1.5
12,Support Services,0.0,2.5,0.0
13,Technology Hardware & Equip...,0.0,4.0,1.0
