,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011,14.0,203.0,357.0,574.0
1,Very High,2012,3.0,294.0,453.0,750.0
2,Very High,2013,1.0,115.0,323.0,439.0
3,Very High,2014,8.0,247.0,558.0,813.0
4,Very High,2015,4.0,130.0,217.0,351.0
5,Very High,2016,6.0,193.0,282.0,481.0
6,Very High,2017,1.0,180.0,331.0,512.0
7,Very High,2018,5.0,154.0,381.0,540.0
8,Very High,2019,16.0,399.0,506.0,921.0
9,Very High,2020,17.0,375.0,444.0,836.0
10,Very High,2021,40.0,439.0,1138.0,1617.0
11,Very High,2022,79.0,994.0,1474.0,2547.0
