,WHO,Year,intersection,climate,health,sum
0,Eastern Mediterranean,2011,0.0,1.0,1.0,2.0
1,Eastern Mediterranean,2012,0.0,14.0,41.0,55.0
2,Eastern Mediterranean,2013,7.0,35.0,86.0,128.0
3,Eastern Mediterranean,2014,1.0,29.0,77.0,107.0
4,Eastern Mediterranean,2015,0.0,15.0,72.0,87.0
5,Eastern Mediterranean,2016,0.0,1.0,7.0,8.0
6,Eastern Mediterranean,2017,2.0,11.0,45.0,58.0
7,Eastern Mediterranean,2018,0.0,1.0,13.0,14.0
8,Eastern Mediterranean,2019,0.0,0.0,15.0,15.0
9,Eastern Mediterranean,2020,1.0,20.0,14.0,35.0
10,Eastern Mediterranean,2021,14.0,64.0,467.0,545.0
11,Eastern Mediterranean,2022,1.0,30.0,25.0,56.0
