,Sector,intersection,health,climate
0,Banks,0.0,35.0,23.0
1,Construction & Materials,7.0,138.0,58.0
2,Electricity,0.0,25.0,29.0
3,Financial Services,1.0,4.0,1.0
4,Food & Drug Retailers,8.0,186.0,72.0
5,Health Care Equipment & Ser...,0.0,91.0,0.0
6,Industrial Metals & Mining,9.67,247.33,101.33
7,Industrial Transportation,14.0,286.0,67.0
8,Mining,16.67,161.0,110.33
9,Oil & Gas Producers,11.0,119.0,254.0
10,Real Estate Investment & Se...,1.0,4.0,1.0
11,Real Estate Investment Trusts,0.0,44.0,1.0
12,Support Services,3.0,75.0,1.0
