,WHO,Year,intersection,climate,health,sum
0,Eastern Mediterranean,2013,0.0,6.0,186.0,192.0
1,Eastern Mediterranean,2014,0.0,0.0,0.0,0.0
2,Eastern Mediterranean,2015,0.0,0.0,27.0,27.0
3,Eastern Mediterranean,2016,2.0,33.0,49.0,84.0
4,Eastern Mediterranean,2017,0.0,2.0,8.0,10.0
5,Eastern Mediterranean,2018,0.0,4.0,19.0,23.0
6,Eastern Mediterranean,2019,3.0,25.0,26.0,54.0
7,Eastern Mediterranean,2020,1.0,6.0,7.0,14.0
8,Eastern Mediterranean,2021,1.0,18.0,57.0,76.0
9,Eastern Mediterranean,2022,68.0,74.0,185.0,327.0
