,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011,0.0,28.0,68.0,96.0
1,Very High,2012,10.0,74.0,150.0,234.0
2,Very High,2013,1.0,30.0,157.0,188.0
3,Very High,2014,3.0,37.0,114.0,154.0
4,Very High,2015,0.0,21.0,82.0,103.0
5,Very High,2016,0.0,15.0,30.0,45.0
6,Very High,2017,1.0,46.0,79.0,126.0
7,Very High,2018,2.0,52.0,276.0,330.0
8,Very High,2019,3.0,41.0,173.0,217.0
9,Very High,2020,12.0,107.0,160.0,279.0
10,Very High,2021,13.0,100.0,433.0,546.0
11,Very High,2022,8.0,67.0,573.0,648.0
