,Sector,intersection,climate,health
0,Banks,26.0,308.0,940.0
1,Beverages,6.0,72.0,153.0
2,Construction & Materials,0.0,19.0,16.0
3,Diversified,0.0,4.0,5.0
4,Financial Services,14.0,121.0,183.0
5,Food Producers,2.0,11.0,40.0
6,General Industrials,0.0,0.0,15.0
7,Life Insurance,3.0,1.0,18.0
8,Media,0.0,5.0,64.0
9,Mining,0.0,9.0,18.0
10,Mobile Telecommunications,0.0,7.0,100.0
11,Not Applicable,0.0,4.0,60.0
12,Oil & Gas Producers,0.0,0.0,7.0
13,Pharmaceuticals & Biotechno...,2.0,38.0,614.0
14,Support Services,0.0,19.0,57.0
15,Technology Hardware & Equip...,0.0,0.0,5.0
