,Sector,intersection,health,climate
0,Aerospace & Defense,15.0,232.0,80.0
1,Alternative Energy,4.8,24.6,29.4
2,Chemicals,0.0,7.0,6.0
3,Construction & Materials,0.0,0.0,0.0
4,Diversified,24.0,463.33,111.0
5,Electronic & Electrical Equ...,0.0,1.33,1.33
6,Financial Services,1.0,9.0,23.0
7,Fixed Line Telecommunications,0.0,0.0,0.0
8,Food Producers,4.0,89.8,17.6
9,Forestry & Paper,0.0,10.0,3.0
10,"Gas, Water & Multiutilities",3.0,42.0,18.0
11,General Industrials,2.2,43.6,19.0
12,Industrial Engineering,0.0,0.0,2.0
13,Industrial Transportation,3.67,28.0,15.67
14,Life Insurance,8.0,83.0,20.0
15,Media,0.0,3.0,2.0
16,Mobile Telecommunications,5.0,110.0,42.0
17,Pharmaceuticals & Biotechno...,4.0,29.0,9.0
18,Real Estate Investment & Se...,10.6,132.0,87.2
19,Software & Computer Services,0.0,4.0,9.0
20,Support Services,0.2,5.4,6.0
21,Travel & Leisure,3.67,53.0,21.0
