,Sector,Climate,Health,Intersection,Year
0,Aerospace & Defense,1.0,1.0,1.0,2021
1,Alternative Energy,1.0,1.0,1.0,2021
2,Automobiles & Parts,1.0,1.0,1.0,2021
3,Banks,1.0,1.0,1.0,2021
4,Chemicals,0.91,1.0,0.27,2021
5,Construction & Materials,0.0,0.25,0.0,2021
6,Diversified,0.81,0.88,0.62,2021
7,Electronic & Electrical Equ...,0.24,0.52,0.0,2021
8,Equity Investment Instruments,1.0,0.14,0.14,2021
9,Financial Services,0.77,0.62,0.15,2021
10,Fixed Line Telecommunications,0.0,0.0,0.0,2021
11,Food Producers,0.96,0.92,0.8,2021
12,Forestry & Paper,0.67,1.0,0.33,2021
13,"Gas, Water & Multiutilities",0.77,0.85,0.69,2021
14,General Industrials,0.62,0.91,0.32,2021
15,Health Care Equipment & Ser...,1.0,1.0,0.5,2021
16,Industrial Engineering,0.25,0.0,0.0,2021
17,Industrial Transportation,1.0,1.0,0.88,2021
18,Life Insurance,1.0,1.0,1.0,2021
19,Media,0.08,1.0,0.0,2021
20,Mobile Telecommunications,1.0,1.0,0.43,2021
21,Not Applicable,0.33,0.33,0.0,2021
22,Oil & Gas Producers,1.0,1.0,0.5,2021
23,"Oil Equipment, Services & D...",0.33,1.0,0.0,2021
24,Pharmaceuticals & Biotechno...,1.0,1.0,1.0,2021
25,Real Estate Investment & Se...,0.91,0.97,0.79,2021
26,Software & Computer Services,1.0,0.67,0.0,2021
27,Support Services,0.68,0.89,0.16,2021
28,Technology Hardware & Equip...,0.0,1.0,0.0,2021
29,Travel & Leisure,1.0,0.93,0.54,2021
