,Sector,intersection,health,climate
0,Aerospace & Defense,0.0,1.0,0.0
1,Diversified,0.0,5.67,0.0
2,Electricity,5.0,28.0,134.0
3,Financial Services,8.25,48.25,82.75
4,Food Producers,8.0,73.0,24.0
5,Forestry & Paper,1.0,20.0,2.0
6,General Industrials,0.0,1.0,0.0
7,General Retailers,5.0,83.5,47.5
8,Health Care Equipment & Ser...,2.0,51.0,17.0
9,Industrial Metals & Mining,4.0,9.0,12.0
10,Industrial Transportation,0.5,46.0,6.5
11,Mobile Telecommunications,5.0,186.0,91.0
12,Nonlife Insurance,0.0,2.0,2.0
13,Pharmaceuticals & Biotechno...,2.0,9.0,2.0
14,Real Estate Investment Trusts,7.0,10.0,16.0
15,Support Services,0.0,4.0,0.5
16,Travel & Leisure,0.0,0.0,0.0
