,SIDS,Year,intersection,climate,health,sum
0,Tier 1,2011,58.0,1197.0,5225.0,6480.0
1,Tier 1,2012,57.0,1135.0,5464.0,6656.0
2,Tier 1,2013,106.0,1703.0,6041.0,7850.0
3,Tier 1,2014,72.0,1354.0,5377.0,6803.0
4,Tier 1,2015,92.0,1547.0,6556.0,8195.0
5,Tier 1,2016,86.0,1677.0,6919.0,8682.0
6,Tier 1,2017,155.0,1880.0,7112.0,9147.0
7,Tier 1,2018,102.0,1661.0,8133.0,9896.0
8,Tier 1,2019,197.0,2554.0,8656.0,11407.0
9,Tier 1,2020,288.0,3113.0,9430.0,12831.0
10,Tier 1,2021,851.0,6556.0,22387.0,29794.0
11,Tier 1,2022,934.0,8993.0,22669.0,32596.0
