,Sector,intersection,health,climate
0,Aerospace & Defense,1.0,80.75,17.0
1,Alternative Energy,4.24,47.71,31.76
2,Automobiles & Parts,2.14,72.86,32.29
3,Banks,3.25,80.25,49.75
4,Basic Resources,0.0,5.0,2.0
5,Beverages,0.71,7.57,6.71
6,Chemicals,3.2,46.4,14.07
7,Construction & Materials,0.92,27.33,14.15
8,Diversified,0.92,21.38,8.35
9,Electricity,1.64,32.64,25.73
10,Electronic & Electrical Equ...,0.22,20.89,4.67
11,Equity Investment Instruments,0.0,0.0,0.0
12,Financial Services,1.16,31.37,13.47
13,Fixed Line Telecommunications,0.5,7.17,2.5
14,Food & Drug Retailers,1.5,56.75,7.0
15,Food Producers,1.63,29.15,8.95
16,Forestry & Paper,7.0,71.0,37.67
17,"Gas, Water & Multiutilities",4.38,80.25,35.62
18,General Industrials,1.04,28.8,11.15
19,General Retailers,1.52,34.1,14.1
20,Health Care Equipment & Ser...,1.44,63.31,9.81
21,Household Goods & Home Cons...,1.67,20.17,14.83
22,Industrial Engineering,0.68,19.45,12.16
23,Industrial Goods & Services,0.5,8.25,3.5
24,Industrial Metals & Mining,1.43,40.0,21.36
25,Industrial Transportation,0.44,22.33,8.44
26,Leisure Goods,6.0,22.0,3.0
27,Life Insurance,2.0,41.0,14.5
28,Media,1.0,34.92,9.31
29,Mining,1.67,33.33,15.5
30,Mobile Telecommunications,0.0,3.0,0.0
31,Nonlife Insurance,1.25,99.5,6.25
32,Oil & Gas Producers,1.16,33.0,14.79
33,"Oil Equipment, Services & D...",3.0,33.0,18.0
34,Other,0.0,6.0,2.5
35,Personal Goods,1.36,36.64,23.64
36,Pharmaceuticals & Biotechno...,2.86,85.71,14.14
37,Real Estate Investment & Se...,1.06,35.88,7.62
38,Retail,0.0,4.75,0.75
39,Software & Computer Services,0.61,15.07,7.52
40,Support Services,0.55,16.5,4.21
41,Technology,0.0,19.0,2.0
42,Technology Hardware & Equip...,0.12,13.5,3.75
43,Travel & Leisure,1.62,40.5,17.54
