,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,Very High,2011,0.0,1.0,119.0,120.0,Health Care Equipment & Ser...
1,Very High,2012,3.0,14.0,197.0,214.0,Health Care Equipment & Ser...
2,Very High,2013,0.0,16.0,371.0,387.0,Health Care Equipment & Ser...
3,Very High,2014,0.0,28.0,411.0,439.0,Health Care Equipment & Ser...
4,Very High,2015,5.0,39.0,717.0,761.0,Health Care Equipment & Ser...
5,Very High,2016,0.0,30.0,431.0,461.0,Health Care Equipment & Ser...
6,Very High,2017,6.0,36.0,951.0,993.0,Health Care Equipment & Ser...
7,Very High,2018,2.0,18.0,751.0,771.0,Health Care Equipment & Ser...
8,Very High,2019,3.0,17.0,392.0,412.0,Health Care Equipment & Ser...
9,Very High,2020,28.0,71.0,854.0,953.0,Health Care Equipment & Ser...
10,Very High,2021,73.0,199.0,1559.0,1831.0,Health Care Equipment & Ser...
11,Very High,2022,23.0,157.0,1013.0,1193.0,Health Care Equipment & Ser...
