,WHO,Year,intersection,climate,health,sum
0,South-East Asia,2011,1.0,144.0,312.0,457.0
1,South-East Asia,2012,10.0,137.0,314.0,461.0
2,South-East Asia,2013,9.0,187.0,482.0,678.0
3,South-East Asia,2014,11.0,107.0,487.0,605.0
4,South-East Asia,2015,13.0,182.0,770.0,965.0
5,South-East Asia,2016,10.0,122.0,310.0,442.0
6,South-East Asia,2017,7.0,135.0,490.0,632.0
7,South-East Asia,2018,6.0,224.0,444.0,674.0
8,South-East Asia,2019,12.0,172.0,436.0,620.0
9,South-East Asia,2020,4.0,180.0,537.0,721.0
10,South-East Asia,2021,27.0,286.0,917.0,1230.0
11,South-East Asia,2022,32.0,295.0,902.0,1229.0
