,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Europe,2011,32.0,849.0,919.0,1800.0
1,1,Europe,2012,47.0,1209.0,992.0,2248.0
2,2,Europe,2013,27.0,1041.0,1121.0,2189.0
3,3,Europe,2014,30.0,1087.0,1203.0,2320.0
4,4,Europe,2015,49.0,1017.0,1504.0,2570.0
5,5,Europe,2016,37.0,1066.0,1267.0,2370.0
6,6,Europe,2017,82.0,1413.0,1544.0,3039.0
7,7,Europe,2018,81.0,1506.0,2382.0,3969.0
8,8,Europe,2019,96.0,1806.0,2971.0,4873.0
9,9,Europe,2020,143.0,2632.0,3621.0,6396.0
10,10,Europe,2021,438.0,4396.0,8792.0,13626.0
11,11,Europe,2022,452.0,5933.0,8649.0,15034.0
