,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,Very High,2013,0.0,0.0,3.0,3.0,Health Care Equipment & Ser...
1,Very High,2014,0.0,0.0,3.0,3.0,Health Care Equipment & Ser...
2,Very High,2015,0.0,0.0,3.0,3.0,Health Care Equipment & Ser...
3,Very High,2016,0.0,0.0,3.0,3.0,Health Care Equipment & Ser...
4,Very High,2017,0.0,4.0,88.0,92.0,Health Care Equipment & Ser...
5,Very High,2018,1.0,6.0,224.0,231.0,Health Care Equipment & Ser...
6,Very High,2019,0.0,1.0,86.0,87.0,Health Care Equipment & Ser...
7,Very High,2020,0.0,25.0,268.0,293.0,Health Care Equipment & Ser...
8,Very High,2021,3.0,9.0,142.0,154.0,Health Care Equipment & Ser...
9,Very High,2022,16.0,33.0,627.0,676.0,Health Care Equipment & Ser...
