,Sector,intersection,climate,health
0,Alternative Energy,9.0,142.0,120.0
1,Banks,55.0,639.0,394.0
2,Beverages,29.0,574.0,610.0
3,Chemicals,188.0,1132.0,2184.0
4,Construction & Materials,8.0,138.0,121.0
5,Diversified,99.0,1319.0,942.0
6,Electricity,4.0,45.0,60.0
7,Electronic & Electrical Equ...,25.0,384.0,643.0
8,Equity Investment Instruments,0.0,19.0,2.0
9,Financial Services,255.0,2649.0,1723.0
10,Fixed Line Telecommunications,2.0,11.0,14.0
11,Food Producers,61.0,368.0,650.0
12,"Gas, Water & Multiutilities",4.0,50.0,43.0
13,General Industrials,2.0,121.0,196.0
14,General Retailers,2.0,223.0,550.0
15,Health Care Equipment & Ser...,9.0,283.0,951.0
16,Household Goods & Home Cons...,9.0,209.0,377.0
17,Industrial Engineering,8.0,96.0,233.0
18,Industrial Metals & Mining,8.0,46.0,204.0
19,Industrial Transportation,50.0,428.0,790.0
20,Life Insurance,13.0,269.0,322.0
21,Media,0.0,1.0,0.0
22,Mining,0.0,0.0,3.0
23,Nonlife Insurance,2.0,22.0,19.0
24,Not Applicable,0.0,0.0,4.0
25,Oil & Gas Producers,0.0,13.0,27.0
26,"Oil Equipment, Services & D...",8.0,141.0,112.0
27,Personal Goods,18.0,45.0,673.0
28,Pharmaceuticals & Biotechno...,58.0,134.0,768.0
29,Real Estate Investment & Se...,1.0,26.0,17.0
30,Software & Computer Services,36.0,575.0,858.0
31,Support Services,41.0,604.0,753.0
32,Technology Hardware & Equip...,31.0,338.0,766.0
33,Tobacco,2.0,43.0,117.0
34,Travel & Leisure,6.0,83.0,366.0
