,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Europe,2011,27.0,326.0,635.0,988.0
1,1,Europe,2012,27.0,388.0,501.0,916.0
2,2,Europe,2013,35.0,289.0,594.0,918.0
3,3,Europe,2014,41.0,431.0,803.0,1275.0
4,4,Europe,2015,35.0,417.0,878.0,1330.0
5,5,Europe,2016,37.0,523.0,870.0,1430.0
6,6,Europe,2017,50.0,505.0,827.0,1382.0
7,7,Europe,2018,50.0,806.0,1159.0,2015.0
8,8,Europe,2019,81.0,1048.0,1460.0,2589.0
9,9,Europe,2020,129.0,1193.0,1511.0,2833.0
10,10,Europe,2021,271.0,2020.0,3020.0,5311.0
11,11,Europe,2022,260.0,3224.0,3354.0,6838.0
