,WHO,Year,intersection,climate,health,sum,Sector
0,Europe,2012,0.0,2.0,18.0,20.0,Health Care Equipment & Ser...
1,Europe,2013,0.0,0.0,21.0,21.0,Health Care Equipment & Ser...
2,Europe,2014,0.0,0.0,30.0,30.0,Health Care Equipment & Ser...
3,Europe,2016,0.0,0.0,57.0,57.0,Health Care Equipment & Ser...
4,Europe,2017,0.0,19.0,33.0,52.0,Health Care Equipment & Ser...
5,Europe,2018,0.0,27.0,111.0,138.0,Health Care Equipment & Ser...
6,Europe,2019,0.0,48.0,158.0,206.0,Health Care Equipment & Ser...
7,Europe,2020,1.0,57.0,128.0,186.0,Health Care Equipment & Ser...
8,Europe,2021,3.0,79.0,238.0,320.0,Health Care Equipment & Ser...
9,Europe,2022,5.0,51.0,157.0,213.0,Health Care Equipment & Ser...
