,WHO,Year,intersection,climate,health,sum
0,Eastern Mediterranean,2011,0.0,3.0,43.0,46.0
1,Eastern Mediterranean,2012,3.0,36.0,60.0,99.0
2,Eastern Mediterranean,2013,0.0,1.0,24.0,25.0
3,Eastern Mediterranean,2014,0.0,0.0,10.0,10.0
4,Eastern Mediterranean,2015,0.0,2.0,23.0,25.0
5,Eastern Mediterranean,2016,0.0,2.0,22.0,24.0
6,Eastern Mediterranean,2017,0.0,1.0,15.0,16.0
7,Eastern Mediterranean,2018,0.0,1.0,16.0,17.0
8,Eastern Mediterranean,2019,0.0,2.0,23.0,25.0
9,Eastern Mediterranean,2020,0.0,1.0,16.0,17.0
10,Eastern Mediterranean,2021,0.0,1.0,19.0,20.0
11,Eastern Mediterranean,2022,0.0,0.0,0.0,0.0
