,Year,WHO,Climate,Health,Intersection
0,2011,Eastern Mediterranean,0.23,0.77,0.0
1,2012,Eastern Mediterranean,0.47,0.59,0.18
2,2013,Eastern Mediterranean,0.1,0.6,0.0
3,2014,Eastern Mediterranean,0.0,0.4,0.0
4,2015,Eastern Mediterranean,0.33,0.67,0.0
5,2016,Eastern Mediterranean,0.29,0.43,0.0
6,2017,Eastern Mediterranean,0.17,0.33,0.0
7,2018,Eastern Mediterranean,0.2,0.4,0.0
8,2019,Eastern Mediterranean,0.4,0.8,0.0
9,2020,Eastern Mediterranean,0.5,0.5,0.0
10,2021,Eastern Mediterranean,0.33,0.33,0.0
11,2022,Eastern Mediterranean,0.0,0.0,0.0
