,Sector,intersection,climate,health
0,Alternative Energy,11.0,164.0,105.0
1,Automobiles & Parts,2.0,98.0,87.0
2,Banks,1.0,51.0,62.0
3,Construction & Materials,11.0,27.0,61.0
4,Diversified,22.0,142.0,637.0
5,Equity Investment Instruments,2.0,12.0,477.0
6,Financial Services,0.0,3.0,40.0
7,Food Producers,12.0,38.0,156.0
8,"Gas, Water & Multiutilities",3.0,169.0,181.0
9,General Industrials,6.0,93.0,618.0
10,General Retailers,2.0,59.0,162.0
11,Health Care Equipment & Ser...,0.0,0.0,19.0
12,Household Goods & Home Cons...,0.0,0.0,11.0
13,Industrial Transportation,0.0,0.0,3.0
14,Media,4.0,30.0,27.0
15,Mining,14.0,120.0,491.0
16,Mobile Telecommunications,14.0,44.0,281.0
17,Nonlife Insurance,0.0,0.0,25.0
18,Oil & Gas Producers,0.0,0.0,12.0
19,Personal Goods,5.0,75.0,316.0
20,Real Estate Investment & Se...,0.0,152.0,238.0
21,Software & Computer Services,0.0,1.0,1.0
22,Support Services,13.0,166.0,583.0
23,Travel & Leisure,0.0,16.0,38.0
