,Sector,intersection,health,climate
0,Alternative Energy,3.0,36.5,20.5
1,Automobiles & Parts,0.5,12.0,10.0
2,Banks,1.0,35.0,23.0
3,Construction & Materials,0.0,11.0,4.0
4,Diversified,1.71,28.0,5.0
5,Food Producers,12.0,156.0,38.0
6,General Industrials,1.0,144.0,6.0
7,General Retailers,0.0,26.0,8.0
8,Health Care Equipment & Ser...,0.0,6.5,0.0
9,Industrial Transportation,0.0,0.5,0.0
10,Media,4.0,15.0,12.0
11,Mining,6.0,269.0,50.0
12,Mobile Telecommunications,2.0,37.0,5.0
13,Nonlife Insurance,0.0,7.0,0.0
14,Personal Goods,0.0,16.0,2.0
15,Support Services,0.17,5.83,1.67
16,Travel & Leisure,0.0,7.0,1.0
