,Sector,intersection,health,climate
0,Aerospace & Defense,0.0,7.0,0.0
1,Alternative Energy,2.67,20.67,28.0
2,Automobiles & Parts,6.0,46.5,70.0
3,Banks,0.0,13.0,28.0
4,Beverages,5.0,57.5,52.0
5,Chemicals,0.0,6.0,5.0
6,Construction & Materials,0.0,1.67,0.67
7,Diversified,1.32,14.49,8.78
8,Electricity,4.0,58.5,178.0
9,Electronic & Electrical Equ...,0.0,4.67,0.67
10,Equity Investment Instruments,5.33,22.0,59.0
11,Financial Services,1.44,12.32,23.96
12,Fixed Line Telecommunications,0.0,0.0,7.0
13,Food Producers,5.0,52.0,76.0
14,"Gas, Water & Multiutilities",1.5,16.0,89.0
15,General Industrials,1.2,39.4,28.6
16,General Retailers,1.0,11.2,14.0
17,Health Care Equipment & Ser...,6.0,59.0,12.5
18,Industrial Engineering,16.0,90.0,146.0
19,Industrial Metals & Mining,6.25,53.0,26.5
20,Industrial Transportation,0.0,1.0,5.0
21,Leisure Goods,0.0,1.0,4.0
22,Media,1.67,22.33,21.67
23,Nonequity Investment Instru...,0.0,5.5,11.0
24,Nonlife Insurance,2.67,9.33,33.0
25,Oil & Gas Producers,11.0,72.86,61.86
26,"Oil Equipment, Services & D...",0.8,5.0,2.6
27,Personal Goods,0.75,6.0,7.0
28,Pharmaceuticals & Biotechno...,0.5,26.0,6.0
29,Real Estate Investment & Se...,0.67,6.33,9.0
30,Real Estate Investment Trusts,5.0,19.0,28.5
31,Software & Computer Services,0.33,7.6,9.47
32,Support Services,1.43,14.83,14.87
33,Technology Hardware & Equip...,0.0,1.67,1.67
34,Travel & Leisure,1.8,40.2,21.2
