,Sector,Climate,Health,Intersection,Year
0,Banks,0.0,0.0,0.0,2021
1,Construction & Materials,1.0,1.0,0.0,2021
2,Diversified,1.0,1.0,1.0,2021
3,Electricity,0.67,0.67,0.0,2021
4,Financial Services,0.0,0.83,0.0,2021
5,Fixed Line Telecommunications,0.5,1.0,0.0,2021
6,Forestry & Paper,0.57,1.0,0.14,2021
7,"Gas, Water & Multiutilities",0.8,1.0,0.4,2021
8,General Industrials,0.0,1.0,0.0,2021
9,Health Care Equipment & Ser...,0.0,1.0,0.0,2021
10,Life Insurance,0.67,0.67,0.67,2021
11,Nonlife Insurance,0.5,1.0,0.0,2021
12,Not Applicable,1.0,1.0,0.0,2021
13,Oil & Gas Producers,0.71,1.0,0.14,2021
14,"Oil Equipment, Services & D...",0.0,0.0,0.0,2021
15,Pharmaceuticals & Biotechno...,0.0,1.0,0.0,2021
16,Software & Computer Services,0.4,0.4,0.0,2021
17,Support Services,0.49,0.92,0.0,2021
