,WHO,Year,intersection,climate,health,sum
0,Western Pacific,2011,0.0,7.0,15.0,22.0
1,Western Pacific,2012,0.0,0.0,0.0,0.0
2,Western Pacific,2013,0.0,1.0,12.0,13.0
3,Western Pacific,2014,0.0,1.0,23.0,24.0
4,Western Pacific,2015,0.0,0.0,3.0,3.0
5,Western Pacific,2016,0.0,1.0,18.0,19.0
6,Western Pacific,2017,0.0,3.0,8.0,11.0
7,Western Pacific,2018,2.0,4.0,11.0,17.0
8,Western Pacific,2019,0.0,0.0,5.0,5.0
9,Western Pacific,2020,5.0,6.0,31.0,42.0
10,Western Pacific,2021,1.0,3.0,28.0,32.0
11,Western Pacific,2022,1.0,9.0,22.0,32.0
